idx,line,start_point,end_point,amount,currency,container,matched,used_pattern
0,FOB Shanghai/Suzhou to Selyatino R/F: USD 4400/40HQ,Shanghai/Suzhou,Selyatino,4400,USD,40HQ,True,"^\s*FOB\s+
				(?P<start>.+?)\s+to\s+
				(?P<end>.+?)\s+
				(?:R/?F[:\s]*)?
				(?:(?P<cur>USD|US\$|\$|EUR|€|RUB|руб)\s*)?
				(?P<amount>[\d\s,\.]+)?
				(?:\s*(?:/|per)?\s*(?P<cont>40HQ|40HC|20GP|20DC|40FT|40'))?
				\s*$"
1,FOB Ningbo/Yuyao/Cixi to Selyatino R/F: USD 4450/40HQ,Ningbo/Yuyao/Cixi,Selyatino,4450,USD,40HQ,True,"^\s*FOB\s+
				(?P<start>.+?)\s+to\s+
				(?P<end>.+?)\s+
				(?:R/?F[:\s]*)?
				(?:(?P<cur>USD|US\$|\$|EUR|€|RUB|руб)\s*)?
				(?P<amount>[\d\s,\.]+)?
				(?:\s*(?:/|per)?\s*(?P<cont>40HQ|40HC|20GP|20DC|40FT|40'))?
				\s*$"
2,FOB Qingdao/Linyi to Selyatino R/F: USD 4350/40HQ,Qingdao/Linyi,Selyatino,4350,USD,40HQ,True,"^\s*FOB\s+
				(?P<start>.+?)\s+to\s+
				(?P<end>.+?)\s+
				(?:R/?F[:\s]*)?
				(?:(?P<cur>USD|US\$|\$|EUR|€|RUB|руб)\s*)?
				(?P<amount>[\d\s,\.]+)?
				(?:\s*(?:/|per)?\s*(?P<cont>40HQ|40HC|20GP|20DC|40FT|40'))?
				\s*$"
3,FOB Tianjin/Cangzhou to Selyatino R/F: USD 4400/40HQ,Tianjin/Cangzhou,Selyatino,4400,USD,40HQ,True,"^\s*FOB\s+
				(?P<start>.+?)\s+to\s+
				(?P<end>.+?)\s+
				(?:R/?F[:\s]*)?
				(?:(?P<cur>USD|US\$|\$|EUR|€|RUB|руб)\s*)?
				(?P<amount>[\d\s,\.]+)?
				(?:\s*(?:/|per)?\s*(?P<cont>40HQ|40HC|20GP|20DC|40FT|40'))?
				\s*$"
5,FOB Shanghai/Suzhou to Elektrougli R/F: USD 4200/40HQ,Shanghai/Suzhou,Elektrougli,4200,USD,40HQ,True,"^\s*FOB\s+
				(?P<start>.+?)\s+to\s+
				(?P<end>.+?)\s+
				(?:R/?F[:\s]*)?
				(?:(?P<cur>USD|US\$|\$|EUR|€|RUB|руб)\s*)?
				(?P<amount>[\d\s,\.]+)?
				(?:\s*(?:/|per)?\s*(?P<cont>40HQ|40HC|20GP|20DC|40FT|40'))?
				\s*$"
6,FOB Ningbo/Cixi to Elektrougli R/F: USD 4200/40HQ,Ningbo/Cixi,Elektrougli,4200,USD,40HQ,True,"^\s*FOB\s+
				(?P<start>.+?)\s+to\s+
				(?P<end>.+?)\s+
				(?:R/?F[:\s]*)?
				(?:(?P<cur>USD|US\$|\$|EUR|€|RUB|руб)\s*)?
				(?P<amount>[\d\s,\.]+)?
				(?:\s*(?:/|per)?\s*(?P<cont>40HQ|40HC|20GP|20DC|40FT|40'))?
				\s*$"
7,FOB Qingdao/Linyi to Elektrougli R/F: USD 4100/40HQ,Qingdao/Linyi,Elektrougli,4100,USD,40HQ,True,"^\s*FOB\s+
				(?P<start>.+?)\s+to\s+
				(?P<end>.+?)\s+
				(?:R/?F[:\s]*)?
				(?:(?P<cur>USD|US\$|\$|EUR|€|RUB|руб)\s*)?
				(?P<amount>[\d\s,\.]+)?
				(?:\s*(?:/|per)?\s*(?P<cont>40HQ|40HC|20GP|20DC|40FT|40'))?
				\s*$"
8,FOB Tianjin/Cangzhou to Elektrougli R/F: USD 4150/40HQ,Tianjin/Cangzhou,Elektrougli,4150,USD,40HQ,True,"^\s*FOB\s+
				(?P<start>.+?)\s+to\s+
				(?P<end>.+?)\s+
				(?:R/?F[:\s]*)?
				(?:(?P<cur>USD|US\$|\$|EUR|€|RUB|руб)\s*)?
				(?P<amount>[\d\s,\.]+)?
				(?:\s*(?:/|per)?\s*(?P<cont>40HQ|40HC|20GP|20DC|40FT|40'))?
				\s*$"
10,FOB Qingdao to Selyatino R/F: USD 3600/40HQ,Qingdao,Selyatino,3600,USD,40HQ,True,"^\s*FOB\s+
				(?P<start>.+?)\s+to\s+
				(?P<end>.+?)\s+
				(?:R/?F[:\s]*)?
				(?:(?P<cur>USD|US\$|\$|EUR|€|RUB|руб)\s*)?
				(?P<amount>[\d\s,\.]+)?
				(?:\s*(?:/|per)?\s*(?P<cont>40HQ|40HC|20GP|20DC|40FT|40'))?
				\s*$"
11,FOB Jinan/Weihai to Selyatino R/F: USD 3900/40HQ,Jinan/Weihai,Selyatino,3900,USD,40HQ,True,"^\s*FOB\s+
				(?P<start>.+?)\s+to\s+
				(?P<end>.+?)\s+
				(?:R/?F[:\s]*)?
				(?:(?P<cur>USD|US\$|\$|EUR|€|RUB|руб)\s*)?
				(?P<amount>[\d\s,\.]+)?
				(?:\s*(?:/|per)?\s*(?P<cont>40HQ|40HC|20GP|20DC|40FT|40'))?
				\s*$"
