0,1,2
- Котировка ставок в течении 20 мин.,,
- Работа по ЭДО,,
- Отсрочка оплаты,,
"- Собственные активы в виде авто, контейнеров и судов дают нам особые преимущества",,
- Таможенные оформление,,
- Прием IMO,грузов возможен под отдельное согласование,
"- Импорт (LCL авто,LCL прямое ЖД, (LCL море+жд)",,
"- Импорт по прямому ЖД, прямому Авто.",,
- Под наш контракт (по согласованию),,
- Услуги присутствия на досмотре,,
- Доставка по всей России в контейнерах,,
,,
"________________________________
Pavel Grabar
Sales manager KHASAN LLC
mob: +7(915)-393-81-36
mob: +7(966)-282-01-54
www.khasanllc.pro
Moscow, Russia
2nd Sinichkina street, 9a st4, of 24.",,
,,
