0,1,2,3,4
Порт отгрузки,,Трансшипмент,20'DC COC *,40'HC COC
CHINA,,,,
"FOB Ningbo / Shanghai / Qingdao /
Xingang (Tianjin)",,direct,$ 2 250,$ 3 600
"FOB Ningbo / Shanghai / Qingdao /
Xingang (Tianjin) – *drop off
Владивосток",,direct,-,$ 2 900
FOB Xiamen,,direct,По запросу,$ 3 900
FOB Guangzhou,,Ningbo,$ 2 550,$ 3 950
FOB Nansha,,Ningbo,$ 2 550,$ 3 950
,VIETNAM,,,
FOB Haiphong / Hochiminh,,Ningbo,$ 2 750,$ 4 160
,THAILAND,,,
FOB Laem Chabang / Bangkok,,Ningbo,$ 2 800,$ 4 100
,INDIA,,,
FOB Nhava Sheva,,Ningbo,$ 3 200,$ 4 400
"FOB Mundra / Kolkata / Chennai /
Cochin",,Ningbo,По запросу,По запросу
INDONESIA,,,,
FOB Jakarta / Surabaya,,Ningbo,$ 2 700,$ 4 100
FOB Semarang,,Ningbo,По запросу,$ 4 150
