0,1,2,3
Порт отгрузки,Трансшипмент,20'DC COC *,40'HC COC
CHINA,,,
"FOB Ningbo / Shanghai / Qingdao /
Xingang (Tianjin)",direct,$ 1 900,$ 2 700
FOB Xiamen,direct,$ 2 100,$ 2 900
FOB Shenzhen,Shanghai,$ 2 450,$ 3 500
FOB Shekou,Shanghai,По запросу,По запросу
FOB Guangzhou,Shanghai,$ 2 450,$ 3 400
FOB Wuhan,Shanghai,По запросу,$ 3 450
FOB Chongqing,Shanghai,$ 2 550,$ 3 700
FOT Chengdu1,Shanghai,$ 3 800,$ 4 650
FOB Shantou,Shanghai,По запросу,$ 3 300
FOB Nansha,Shanghai,$ 2 450,$ 3 350
VIETNAM,,,
FOB Haiphong / Hochiminh,Ningbo,$ 2 150,$ 3 000
THAILAND,,,
FOB Laem Chabang / Bangkok,Shanghai,$ 2 250,$ 3 400
