0,1,2,3,4,5
,INDIA,,,,
FOB Nhava Sheva,,Ningbo,$ 2 750,$ 4 000,
"FOB Mundra / Chennai / Cochin /
Kolkata",,Ningbo,По запросу,$ 5 000,
INDONESIA,,,,,
FOB Jakarta / Surabaya,,Shanghai,$ 2 370,$ 3 400,
FOB Semarang,,Ningbo,По запросу,$ 3 450,
MALAYSIA,,,,,
FOB Port Klang,,Shanghai,$ 2 270,$ 3 400,
FOB Pasir Gudang,,Shanghai,$ 2 620,$ 3 450,
SINGAPORE,,,,,
FOB Singapore,,Ningbo,По запросу,$ 4 000,
,TAIWAN,,,,
FOB Kaohsiung / Keelung / Taichung,,Shanghai,$ 2 400,$ 3 400,
JAPAN,,,,,
FOB Nagoya,,Ningbo,По запросу,$ 5 500,
FOB Tokyo / Yokohama / Osaka,,Ningbo,$ 4 500,$ 5 500,
PAKISTAN,,,,,
FOB Karachi,,Ningbo,По запросу,$ 3 600,
BANGLADESH,,,,,
FOB Chittagong,,Ningbo,По запросу,$ 3 550,
CAMBODIA,,,,,
FOB Sihanoukville,,Ningbo,По запросу,По запросу,
MYANMAR,,,,,
FOB Yangon,,Shanghai,По запросу,По запросу,
