0,1,2,3,4,5
,INDONESIA,,,,
FOB Semarang,,Ningbo,$ 2 300,$ 2 700,
FOB Jakarta / Surabaya,,Ningbo,$ 2 300,$ 2 700,
MALAYSIA,,,,,
FOB Port Klang,,Ningbo,$ 2 300,$ 2 700,
FOB Pasir Gudang,,Ningbo,$ 2 300,$ 2 700,
TAIWAN,,,,,
FOB Kaohsiung / Taichung / Keelung,,Ningbo,$ 1 700,$ 2 450,
,JAPAN,,,,
"FOB Nagoya / Tokyo / Yokohama /
Osaka",,Ningbo,$ 2 300,$ 2 700,
PAKISTAN,,,,,
FOB Karachi,,Ningbo,По запросу,По запросу,
BANGLADESH,,,,,
FOB Chittagong,,Ningbo,По запросу,По запросу,
CAMBODIA,,,,,
FOB Sihanoukville,,Ningbo,По запросу,По запросу,
MYANMAR,,,,,
FOB Yangon,,Ningbo,По запросу,По запросу,
